total_interactions_map
0
40
42
26
52
21
0
48
55
41
0
33
81
20
44
54
14
0
37
1
40
0
0
2
42
42
65
94
33
28
59
0
12
0
11
51
18
40
46
36
45
0
15
0
73
0
46
28
0
15
21
47
6
0
4
29
23
18
34
24
