Identifier;Time Stamp;Idiom;Type of Interaction;Description;Condition;Task 1;Task 2
52;2021-07-12T15:25:39.816Z;Visualization;Visualization Start First Task;The user started the first task;2;2;4
52;2021-07-12T15:25:40.399Z;Map;Map Enter View;Entered the Map view;2;2;4
52;2021-07-12T15:25:41.185Z;Calendar;Calendar Enter View;Entered the Calendar view;2;2;4
52;2021-07-12T15:25:41.486Z;Map;Map Enter View;Entered the Map view;2;2;4
52;2021-07-12T15:25:43.900Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:25:44.005Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:25:44.452Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:25:44.500Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:25:47.888Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:25:48.193Z;Map;Map Circle Click Add;Selected a circle on the Map view;2;2;4
52;2021-07-12T15:25:50.437Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:25:51.034Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:25:53.089Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:25:53.502Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:25:53.991Z;Map;Map Circle Click Add;Selected a circle on the Map view;2;2;4
52;2021-07-12T15:25:55.789Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:25:56.288Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:25:58.337Z;Map;Map Circle Click Add;Selected a circle on the Map view;2;2;4
52;2021-07-12T15:25:59.041Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:00.939Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:01.387Z;Map;Map Circle Click Remove;Unselected a circle on the Map view;2;2;4
52;2021-07-12T15:26:01.838Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:02.052Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:02.100Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:02.249Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:02.300Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:02.484Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:02.689Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:02.837Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:02.987Z;Map;Map Circle Click Remove;Unselected a circle on the Map view;2;2;4
52;2021-07-12T15:26:03.350Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:03.450Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:03.550Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:04.588Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:05.589Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:05.888Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:06.787Z;Map;Map Circle Click Remove;Unselected a circle on the Map view;2;2;4
52;2021-07-12T15:26:07.336Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:07.837Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:07.987Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:08.337Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:09.137Z;Map;Map Circle Click Add;Selected a circle on the Map view;2;2;4
52;2021-07-12T15:26:09.536Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:10.136Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:10.987Z;Map;Map Circle Click Add;Selected a circle on the Map view;2;2;4
52;2021-07-12T15:26:11.687Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:12.237Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:13.589Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:13.949Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:15.786Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:15.937Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:16.987Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:17.637Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:19.937Z;Map;Map Circle Click Add;Selected a circle on the Map view;2;2;4
52;2021-07-12T15:26:20.637Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:21.036Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:22.837Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:23.187Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:25.438Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:25.937Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:27.815Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:29.537Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:30.487Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:30.699Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:31.786Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:31.986Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:33.686Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:33.839Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:35.737Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:36.236Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:38.588Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:38.901Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:40.837Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:40.937Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:43.436Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:44.137Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:45.037Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:45.986Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:46.137Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:46.251Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:47.636Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:48.187Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:49.937Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:50.588Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:26:51.787Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:26:52.469Z;Overview;Overview Enter View;Entered the Overview tab;2;2;4
52;2021-07-12T15:26:56.085Z;Map;Map Enter View;Entered the Map view;2;2;4
52;2021-07-12T15:26:58.085Z;Visualization;Visualization End First Task;The user ended the first task;2;2;4
52;2021-07-12T15:27:20.335Z;Visualization;Visualization Start Second Task;The user started the second task;2;2;4
52;2021-07-12T15:27:30.939Z;Overview;Overview Remove All Button Click;Click the Overview Remove All Button;2;2;4
52;2021-07-12T15:27:31.335Z;Map;Map Enter View;Entered the Map view;2;2;4
52;2021-07-12T15:27:33.387Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:27:33.987Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:27:34.837Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:27:41.737Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:27:43.188Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:27:45.237Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:27:45.435Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:27:47.537Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:27:49.588Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:27:49.888Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:27:52.292Z;Map;Map Circle Click Add;Selected a circle on the Map view;2;2;4
52;2021-07-12T15:27:52.599Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:27:52.750Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:27:55.138Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:27:55.737Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:27:57.487Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:27:58.038Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:28:19.943Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:28:21.641Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
52;2021-07-12T15:28:24.242Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
52;2021-07-12T15:28:29.649Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
