Identifier;Time Stamp;Idiom;Type of Interaction;Description;Condition;Task 1;Task 2
64;2021-07-26T18:14:10.607Z;Visualization;Visualization Start First Task;The user started the first task;3;1;4
64;2021-07-26T18:14:14.431Z;Map;Map Enter View;Entered the Map view;3;1;4
64;2021-07-26T18:14:14.848Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
64;2021-07-26T18:14:15.888Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
64;2021-07-26T18:14:15.993Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
64;2021-07-26T18:14:30.137Z;Calendar;Calendar Enter View;Entered the Calendar view;3;1;4
64;2021-07-26T18:14:34.840Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;1;4
64;2021-07-26T18:14:36.835Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;3;1;4
64;2021-07-26T18:14:36.891Z;Map;Map Enter View;Entered the Map view;3;1;4
64;2021-07-26T18:14:37.734Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
64;2021-07-26T18:14:37.844Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
64;2021-07-26T18:14:39.334Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
64;2021-07-26T18:14:39.831Z;Calendar;Calendar Enter View;Entered the Calendar view;3;1;4
64;2021-07-26T18:14:40.333Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;1;4
64;2021-07-26T18:14:41.382Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;3;1;4
64;2021-07-26T18:14:41.443Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;1;4
64;2021-07-26T18:14:41.594Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;3;1;4
64;2021-07-26T18:14:41.984Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;1;4
64;2021-07-26T18:14:43.234Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;3;1;4
64;2021-07-26T18:14:43.345Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;1;4
64;2021-07-26T18:14:44.812Z;Calendar;Calendar Circle Click Add;Selected a circle on the Calendar view;3;1;4
64;2021-07-26T18:14:45.093Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;3;1;4
64;2021-07-26T18:14:45.143Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;1;4
64;2021-07-26T18:14:46.482Z;Calendar;Calendar Circle Click Add;Selected a circle on the Calendar view;3;1;4
64;2021-07-26T18:14:46.832Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;3;1;4
64;2021-07-26T18:14:46.892Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;1;4
64;2021-07-26T18:14:48.384Z;Calendar;Calendar Circle Click Add;Selected a circle on the Calendar view;3;1;4
64;2021-07-26T18:14:48.643Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;3;1;4
64;2021-07-26T18:14:48.794Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;1;4
