Identifier;Time Stamp;Idiom;Type of Interaction;Description;Condition;Task 1;Task 2
3;2021-05-28T16:17:34.061Z;Visualization;Visualization Start First Task;The user started the first task;2;2;4
3;2021-05-28T16:17:35.375Z;Map;Map Enter View;Entered the Map view;2;2;4
3;2021-05-28T16:17:38.494Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:17:38.940Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
3;2021-05-28T16:17:40.931Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:17:46.977Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
3;2021-05-28T16:17:47.190Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:17:47.289Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
3;2021-05-28T16:17:47.476Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:17:49.146Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
3;2021-05-28T16:17:49.439Z;Calendar;Calendar Enter View;Entered the Calendar view;2;2;4
3;2021-05-28T16:17:49.486Z;Map;Map Enter View;Entered the Map view;2;2;4
3;2021-05-28T16:17:50.127Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:17:51.677Z;Map;Map Circle Click Add;Selected a circle on the Map view;2;2;4
3;2021-05-28T16:17:51.939Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
3;2021-05-28T16:17:52.039Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:17:52.140Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
3;2021-05-28T16:17:52.676Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:17:54.278Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
3;2021-05-28T16:17:54.927Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:17:56.726Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
3;2021-05-28T16:17:56.787Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:17:59.232Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
3;2021-05-28T16:17:59.287Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:17:59.337Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
3;2021-05-28T16:17:59.588Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:18:00.028Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:18:00.237Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:18:00.976Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
3;2021-05-28T16:18:01.038Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:18:03.676Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
3;2021-05-28T16:18:04.127Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:18:05.081Z;Map;Map Circle Click Add;Selected a circle on the Map view;2;2;4
3;2021-05-28T16:18:05.390Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
3;2021-05-28T16:18:05.676Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:18:05.926Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:18:09.277Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
3;2021-05-28T16:18:09.441Z;Overview;Overview Enter View;Entered the Overview tab;2;2;4
3;2021-05-28T16:18:10.027Z;Overview;Overview Remove Button Click;Click the Overview Remove Button;2;2;4
3;2021-05-28T16:18:11.124Z;Overview;Overview Remove Button Click;Click the Overview Remove Button;2;2;4
3;2021-05-28T16:18:11.336Z;Map;Map Enter View;Entered the Map view;2;2;4
3;2021-05-28T16:18:11.826Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:18:12.030Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:18:12.139Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:18:12.188Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:18:13.026Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:18:14.927Z;Map;Map Circle Click Add;Selected a circle on the Map view;2;2;4
3;2021-05-28T16:18:15.339Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:18:17.926Z;Map;Map Circle Click Add;Selected a circle on the Map view;2;2;4
3;2021-05-28T16:18:19.026Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
3;2021-05-28T16:18:19.327Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:18:20.931Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
3;2021-05-28T16:18:20.987Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:18:22.177Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
3;2021-05-28T16:18:22.588Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
3;2021-05-28T16:18:23.827Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
