Identifier;Time Stamp;Idiom;Type of Interaction;Description;Condition;Task 1;Task 2
37;2021-07-04T10:19:07.994Z;Visualization;Visualization Start First Task;The user started the first task;2;2;4
37;2021-07-04T10:19:09.711Z;Map;Map Enter View;Entered the Map view;2;2;4
37;2021-07-04T10:19:11.422Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
37;2021-07-04T10:19:11.476Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
37;2021-07-04T10:19:11.964Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;2;2;4
37;2021-07-04T10:19:12.025Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;2;2;4
37;2021-07-04T10:19:13.411Z;Calendar;Calendar Enter View;Entered the Calendar view;2;2;4
37;2021-07-04T10:19:13.613Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
37;2021-07-04T10:19:13.676Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
37;2021-07-04T10:19:13.824Z;Calendar;Calendar Enter View;Entered the Calendar view;2;2;4
37;2021-07-04T10:19:13.925Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
37;2021-07-04T10:19:15.413Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
37;2021-07-04T10:19:15.415Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
37;2021-07-04T10:19:16.165Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
37;2021-07-04T10:19:16.168Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
37;2021-07-04T10:19:16.765Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
37;2021-07-04T10:19:17.165Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
37;2021-07-04T10:19:17.376Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
37;2021-07-04T10:19:18.062Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
37;2021-07-04T10:19:19.261Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
37;2021-07-04T10:19:19.513Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
37;2021-07-04T10:19:20.516Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
37;2021-07-04T10:19:20.813Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
37;2021-07-04T10:19:22.062Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
37;2021-07-04T10:19:22.063Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
37;2021-07-04T10:19:23.062Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
37;2021-07-04T10:19:23.065Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
37;2021-07-04T10:19:23.225Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
37;2021-07-04T10:19:23.462Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
