Identifier;Time Stamp;Idiom;Type of Interaction;Description;Condition;Task 1;Task 2
49;2021-07-10T13:59:22.799Z;Visualization;Visualization Start First Task;The user started the first task;1;1;3
49;2021-07-10T13:59:24.721Z;Map;Map Enter View;Entered the Map view;1;1;3
49;2021-07-10T13:59:24.920Z;Calendar;Calendar Enter View;Entered the Calendar view;1;1;3
49;2021-07-10T13:59:24.929Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;1;1;3
49;2021-07-10T13:59:24.972Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;1;1;3
49;2021-07-10T13:59:25.570Z;Map;Map Enter View;Entered the Map view;1;1;3
49;2021-07-10T13:59:29.971Z;Calendar;Calendar Enter View;Entered the Calendar view;1;1;3
49;2021-07-10T13:59:30.371Z;Map;Map Enter View;Entered the Map view;1;1;3
49;2021-07-10T13:59:56.775Z;Calendar;Calendar Enter View;Entered the Calendar view;1;1;3
49;2021-07-10T13:59:57.271Z;Calendar;Calendar Enter View;Entered the Calendar view;1;1;3
49;2021-07-10T13:59:57.370Z;Map;Map Enter View;Entered the Map view;1;1;3
49;2021-07-10T14:00:00.528Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
49;2021-07-10T14:00:05.674Z;Map;Map Circle Click Add;Selected a circle on the Map view;1;1;3
49;2021-07-10T14:00:06.623Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
49;2021-07-10T14:00:06.873Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
49;2021-07-10T14:00:09.724Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
49;2021-07-10T14:00:12.573Z;Map;Map Circle Click Add;Selected a circle on the Map view;1;1;3
49;2021-07-10T14:00:13.423Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
49;2021-07-10T14:00:13.620Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
49;2021-07-10T14:00:16.073Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
49;2021-07-10T14:00:16.190Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
49;2021-07-10T14:00:18.021Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
49;2021-07-10T14:00:20.526Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
49;2021-07-10T14:00:22.372Z;Map;Map Circle Click Add;Selected a circle on the Map view;1;1;3
49;2021-07-10T14:00:23.122Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
49;2021-07-10T14:00:23.675Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
49;2021-07-10T14:00:27.323Z;Map;Map Circle Click Add;Selected a circle on the Map view;1;1;3
49;2021-07-10T14:00:28.224Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
49;2021-07-10T14:00:29.222Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
49;2021-07-10T14:00:31.773Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
49;2021-07-10T14:00:31.923Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
49;2021-07-10T14:00:34.773Z;Map;Map Circle Click Add;Selected a circle on the Map view;1;1;3
49;2021-07-10T14:00:35.776Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
49;2021-07-10T14:00:38.022Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
49;2021-07-10T14:00:41.423Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
49;2021-07-10T14:00:53.725Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
49;2021-07-10T14:00:53.822Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
49;2021-07-10T14:00:54.273Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
