Identifier;Time Stamp;Idiom;Type of Interaction;Description;Condition;Task 1;Task 2
55;2021-07-15T16:16:37.835Z;Visualization;Visualization Start First Task;The user started the first task;1;1;3
55;2021-07-15T16:16:38.911Z;Map;Map Enter View;Entered the Map view;1;1;3
55;2021-07-15T16:16:41.669Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
55;2021-07-15T16:16:41.770Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
55;2021-07-15T16:16:50.016Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
55;2021-07-15T16:16:52.311Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
55;2021-07-15T16:16:53.411Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
55;2021-07-15T16:16:54.861Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
55;2021-07-15T16:16:56.311Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
55;2021-07-15T16:16:57.612Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
55;2021-07-15T16:16:57.760Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
55;2021-07-15T16:16:59.373Z;Map;Map Circle Click Add;Selected a circle on the Map view;1;1;3
55;2021-07-15T16:16:59.818Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
55;2021-07-15T16:17:00.108Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
55;2021-07-15T16:17:00.218Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
55;2021-07-15T16:17:01.310Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
55;2021-07-15T16:17:01.520Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
55;2021-07-15T16:17:02.660Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
55;2021-07-15T16:17:03.112Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
55;2021-07-15T16:17:04.516Z;Map;Map Circle Click Add;Selected a circle on the Map view;1;1;3
55;2021-07-15T16:17:04.718Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
55;2021-07-15T16:17:04.870Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
55;2021-07-15T16:17:06.010Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
55;2021-07-15T16:17:06.171Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
55;2021-07-15T16:17:06.218Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
55;2021-07-15T16:17:06.418Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
55;2021-07-15T16:17:07.311Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
55;2021-07-15T16:17:07.369Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
55;2021-07-15T16:17:07.469Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
55;2021-07-15T16:17:07.618Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
55;2021-07-15T16:17:07.809Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
55;2021-07-15T16:17:07.968Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
55;2021-07-15T16:17:09.210Z;Map;Map Circle Click Add;Selected a circle on the Map view;1;1;3
55;2021-07-15T16:17:09.411Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
55;2021-07-15T16:17:09.459Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
55;2021-07-15T16:17:10.510Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
55;2021-07-15T16:17:10.768Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
55;2021-07-15T16:17:12.110Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
55;2021-07-15T16:17:13.211Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
55;2021-07-15T16:17:13.318Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
55;2021-07-15T16:17:14.761Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
55;2021-07-15T16:17:15.223Z;Overview;Overview Enter View;Entered the Overview tab;1;1;3
55;2021-07-15T16:17:32.863Z;Overview;Overview Remove Button Click;Click the Overview Remove Button;1;1;3
