Identifier;Time Stamp;Idiom;Type of Interaction;Description;Condition;Task 1;Task 2
42;2021-07-05T18:33:55.130Z;Visualization;Visualization Start First Task;The user started the first task;2;2;4
42;2021-07-05T18:33:57.148Z;Map;Map Enter View;Entered the Map view;2;2;4
42;2021-07-05T18:34:00.501Z;Calendar;Calendar Enter View;Entered the Calendar view;2;2;4
42;2021-07-05T18:34:03.193Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:05.655Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:05.801Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:12.481Z;Calendar;Calendar Circle Click Add;Selected a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:12.901Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:12.903Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:13.153Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:13.155Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:13.354Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:14.351Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:19.053Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:19.402Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:19.502Z;Calendar;Calendar Circle Click Add;Selected a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:19.651Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:19.800Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:26.502Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:26.551Z;Map;Map Enter View;Entered the Map view;2;2;4
42;2021-07-05T18:34:26.805Z;Overview;Overview Enter View;Entered the Overview tab;2;2;4
42;2021-07-05T18:34:30.801Z;Map;Map Enter View;Entered the Map view;2;2;4
42;2021-07-05T18:34:30.999Z;Calendar;Calendar Enter View;Entered the Calendar view;2;2;4
42;2021-07-05T18:34:31.401Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:31.501Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:31.503Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:31.602Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:31.651Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:31.849Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:31.850Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:32.202Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:32.203Z;Map;Map Enter View;Entered the Map view;2;2;4
42;2021-07-05T18:34:32.250Z;Overview;Overview Enter View;Entered the Overview tab;2;2;4
42;2021-07-05T18:34:37.404Z;Overview;Overview Remove Button Click;Click the Overview Remove Button;2;2;4
42;2021-07-05T18:34:37.801Z;Map;Map Enter View;Entered the Map view;2;2;4
42;2021-07-05T18:34:38.501Z;Calendar;Calendar Enter View;Entered the Calendar view;2;2;4
42;2021-07-05T18:34:39.154Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:39.850Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:40.002Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:42.802Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:43.052Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:45.400Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:45.452Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:48.604Z;Calendar;Calendar Circle Click Add;Selected a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:49.053Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:49.506Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:52.903Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:53.351Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:56.002Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:56.599Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:59.001Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:34:59.550Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:35:02.350Z;Calendar;Calendar Circle Click Add;Selected a circle on the Calendar view;2;2;4
42;2021-07-05T18:35:02.850Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:35:03.250Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:35:05.450Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:35:05.902Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:35:08.450Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:35:08.504Z;Map;Map Enter View;Entered the Map view;2;2;4
42;2021-07-05T18:35:09.504Z;Visualization;Visualization End First Task;The user ended the first task;2;2;4
42;2021-07-05T18:35:54.249Z;Visualization;Visualization Start Second Task;The user started the second task;2;2;4
42;2021-07-05T18:35:58.602Z;Overview;Overview Remove All Button Click;Click the Overview Remove All Button;2;2;4
42;2021-07-05T18:35:59.249Z;Map;Map Enter View;Entered the Map view;2;2;4
42;2021-07-05T18:36:00.454Z;Calendar;Calendar Enter View;Entered the Calendar view;2;2;4
42;2021-07-05T18:36:00.502Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:36:00.752Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:36:01.102Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:36:06.201Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:36:06.401Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:36:10.351Z;Calendar;Calendar Circle Click Add;Selected a circle on the Calendar view;2;2;4
42;2021-07-05T18:36:11.802Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
42;2021-07-05T18:36:11.949Z;Map;Map Enter View;Entered the Map view;2;2;4
42;2021-07-05T18:36:12.350Z;Overview;Overview Enter View;Entered the Overview tab;2;2;4
42;2021-07-05T18:36:14.450Z;Map;Map Enter View;Entered the Map view;2;2;4
42;2021-07-05T18:36:14.850Z;Calendar;Calendar Enter View;Entered the Calendar view;2;2;4
42;2021-07-05T18:36:15.600Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
42;2021-07-05T18:36:18.452Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
