Identifier;Time Stamp;Idiom;Type of Interaction;Description;Condition;Task 1;Task 2
60;2021-07-25T09:13:35.202Z;Visualization;Visualization Start First Task;The user started the first task;3;1;4
60;2021-07-25T09:13:50.279Z;Map;Map Enter View;Entered the Map view;3;1;4
60;2021-07-25T09:14:16.057Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
60;2021-07-25T09:14:19.782Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
60;2021-07-25T09:14:19.880Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
60;2021-07-25T09:14:20.077Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
60;2021-07-25T09:14:20.276Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
60;2021-07-25T09:14:23.978Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
60;2021-07-25T09:14:24.228Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
60;2021-07-25T09:14:25.778Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
60;2021-07-25T09:14:26.878Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
60;2021-07-25T09:14:27.358Z;Map;Map Circle Click Add;Selected a circle on the Map view;3;1;4
60;2021-07-25T09:14:32.228Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
60;2021-07-25T09:14:32.276Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
60;2021-07-25T09:14:32.327Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
60;2021-07-25T09:14:32.577Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
60;2021-07-25T09:14:32.627Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
60;2021-07-25T09:14:33.147Z;Overview;Overview Enter View;Entered the Overview tab;3;1;4
60;2021-07-25T09:14:33.925Z;Overview;Overview Remove Button Click;Click the Overview Remove Button;3;1;4
60;2021-07-25T09:14:34.126Z;Map;Map Enter View;Entered the Map view;3;1;4
60;2021-07-25T09:14:35.183Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
60;2021-07-25T09:14:35.578Z;Map;Map Circle Click Add;Selected a circle on the Map view;3;1;4
60;2021-07-25T09:14:36.979Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
60;2021-07-25T09:14:41.327Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
60;2021-07-25T09:14:41.377Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
60;2021-07-25T09:14:41.627Z;Overview;Overview Enter View;Entered the Overview tab;3;1;4
60;2021-07-25T09:14:42.781Z;Overview;Overview Remove All Button Click;Click the Overview Remove All Button;3;1;4
60;2021-07-25T09:14:42.925Z;Map;Map Enter View;Entered the Map view;3;1;4
60;2021-07-25T09:14:43.477Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
60;2021-07-25T09:14:43.576Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
60;2021-07-25T09:14:43.976Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
60;2021-07-25T09:14:45.677Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
