Identifier;Time Stamp;Idiom;Type of Interaction;Description;Condition;Task 1;Task 2
57;2021-07-20T19:03:05.582Z;Visualization;Visualization Start First Task;The user started the first task;3;2;3
57;2021-07-20T19:03:12.976Z;Map;Map Enter View;Entered the Map view;3;2;3
57;2021-07-20T19:03:39.192Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
57;2021-07-20T19:03:50.246Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;2;3
57;2021-07-20T19:03:52.744Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
57;2021-07-20T19:03:59.695Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;2;3
57;2021-07-20T19:04:00.578Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
57;2021-07-20T19:04:20.149Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;2;3
57;2021-07-20T19:04:21.027Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
57;2021-07-20T19:04:21.062Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;2;3
57;2021-07-20T19:04:21.560Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
57;2021-07-20T19:04:21.592Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;2;3
57;2021-07-20T19:04:22.378Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
57;2021-07-20T19:04:27.736Z;Map;Map Circle Click Add;Selected a circle on the Map view;3;2;3
57;2021-07-20T19:05:02.895Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;2;3
57;2021-07-20T19:05:06.628Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
57;2021-07-20T19:05:10.143Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;2;3
57;2021-07-20T19:05:10.742Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
57;2021-07-20T19:05:10.793Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;2;3
57;2021-07-20T19:05:12.044Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
57;2021-07-20T19:05:15.180Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;2;3
57;2021-07-20T19:05:16.312Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
57;2021-07-20T19:05:21.692Z;Map;Map Circle Click Add;Selected a circle on the Map view;3;2;3
57;2021-07-20T19:05:31.894Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;2;3
57;2021-07-20T19:05:32.952Z;Overview;Overview Enter View;Entered the Overview tab;3;2;3
57;2021-07-20T19:05:57.267Z;Map;Map Enter View;Entered the Map view;3;2;3
57;2021-07-20T19:05:59.646Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
57;2021-07-20T19:06:00.064Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;2;3
57;2021-07-20T19:06:00.277Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
57;2021-07-20T19:06:04.212Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;2;3
57;2021-07-20T19:06:04.226Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
57;2021-07-20T19:06:07.278Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;2;3
57;2021-07-20T19:06:07.544Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
57;2021-07-20T19:06:08.150Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;2;3
