Identifier;Time Stamp;Idiom;Type of Interaction;Description;Condition;Task 1;Task 2
71;2021-07-31T14:42:29.917Z;Visualization;Visualization Start First Task;The user started the first task;3;2;3
71;2021-07-31T14:42:31.086Z;Map;Map Enter View;Entered the Map view;3;2;3
71;2021-07-31T14:42:38.696Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
71;2021-07-31T14:42:38.740Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;2;3
71;2021-07-31T14:42:38.986Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
71;2021-07-31T14:42:40.940Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;2;3
71;2021-07-31T14:42:41.188Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
71;2021-07-31T14:42:42.589Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
71;2021-07-31T14:42:44.889Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
71;2021-07-31T14:42:45.337Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
71;2021-07-31T14:42:45.388Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;2;3
71;2021-07-31T14:42:45.688Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
71;2021-07-31T14:42:49.819Z;Map;Map Circle Click Add;Selected a circle on the Map view;3;2;3
71;2021-07-31T14:42:50.589Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;2;3
71;2021-07-31T14:42:50.838Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
71;2021-07-31T14:42:54.486Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;2;3
71;2021-07-31T14:42:54.589Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;2;3
71;2021-07-31T14:42:57.689Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;2;3
71;2021-07-31T14:42:57.864Z;Calendar;Calendar Enter View;Entered the Calendar view;3;2;3
71;2021-07-31T14:42:58.289Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;2;3
71;2021-07-31T14:42:59.788Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;3;2;3
71;2021-07-31T14:42:59.888Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;2;3
71;2021-07-31T14:43:00.736Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;3;2;3
71;2021-07-31T14:43:00.738Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;2;3
71;2021-07-31T14:43:00.889Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;3;2;3
71;2021-07-31T14:43:01.535Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;2;3
71;2021-07-31T14:43:03.891Z;Calendar;Calendar Circle Click Add;Selected a circle on the Calendar view;3;2;3
