Identifier;Time Stamp;Idiom;Type of Interaction;Description;Condition;Task 1;Task 2
51;2021-07-11T13:52:41.307Z;Visualization;Visualization Start First Task;The user started the first task;2;2;4
51;2021-07-11T13:52:42.266Z;Map;Map Enter View;Entered the Map view;2;2;4
51;2021-07-11T13:52:47.921Z;Calendar;Calendar Enter View;Entered the Calendar view;2;2;4
51;2021-07-11T13:52:48.475Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
51;2021-07-11T13:52:48.628Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
51;2021-07-11T13:52:49.019Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
51;2021-07-11T13:52:49.468Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
51;2021-07-11T13:52:52.868Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
51;2021-07-11T13:52:53.118Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
51;2021-07-11T13:52:53.178Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
51;2021-07-11T13:52:53.229Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
51;2021-07-11T13:52:53.428Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
51;2021-07-11T13:52:53.667Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
51;2021-07-11T13:52:53.730Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
51;2021-07-11T13:52:55.216Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
51;2021-07-11T13:52:56.471Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
51;2021-07-11T13:52:58.502Z;Calendar;Calendar Circle Click Add;Selected a circle on the Calendar view;2;2;4
51;2021-07-11T13:52:59.266Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
51;2021-07-11T13:52:59.269Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
51;2021-07-11T13:53:00.267Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
51;2021-07-11T13:53:00.269Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
51;2021-07-11T13:53:00.868Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
51;2021-07-11T13:53:00.979Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
51;2021-07-11T13:53:01.469Z;Calendar;Calendar Circle Click Add;Selected a circle on the Calendar view;2;2;4
