Identifier;Time Stamp;Idiom;Type of Interaction;Description;Condition;Task 1;Task 2
41;2021-07-05T17:55:37.831Z;Visualization;Visualization Start First Task;The user started the first task;1;1;3
41;2021-07-05T17:55:38.907Z;Map;Map Enter View;Entered the Map view;1;1;3
41;2021-07-05T17:55:40.056Z;Calendar;Calendar Enter View;Entered the Calendar view;1;1;3
41;2021-07-05T17:55:41.614Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;1;1;3
41;2021-07-05T17:55:42.162Z;Calendar;Calendar Circle Click Add;Selected a circle on the Calendar view;1;1;3
41;2021-07-05T17:55:42.425Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;1;1;3
41;2021-07-05T17:55:42.656Z;Calendar;Calendar Enter View;Entered the Calendar view;1;1;3
41;2021-07-05T17:55:44.608Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;1;1;3
41;2021-07-05T17:55:44.658Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;1;1;3
41;2021-07-05T17:55:45.608Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;1;1;3
41;2021-07-05T17:55:45.705Z;Calendar;Calendar Circle Click Remove;Unselected a circle on the Calendar view;1;1;3
41;2021-07-05T17:55:46.808Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;1;1;3
41;2021-07-05T17:55:47.257Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;1;1;3
41;2021-07-05T17:55:47.507Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;1;1;3
41;2021-07-05T17:55:48.310Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;1;1;3
41;2021-07-05T17:55:52.260Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;1;1;3
41;2021-07-05T17:55:52.262Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;1;1;3
41;2021-07-05T17:55:54.059Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;1;1;3
41;2021-07-05T17:55:54.061Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;1;1;3
41;2021-07-05T17:55:55.558Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;1;1;3
41;2021-07-05T17:55:55.957Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;1;1;3
41;2021-07-05T17:55:56.060Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;1;1;3
41;2021-07-05T17:55:56.157Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;1;1;3
41;2021-07-05T17:55:57.958Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;1;1;3
41;2021-07-05T17:55:58.058Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;1;1;3
41;2021-07-05T17:55:59.407Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;1;1;3
41;2021-07-05T17:56:00.259Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;1;1;3
41;2021-07-05T17:56:01.960Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;1;1;3
41;2021-07-05T17:56:02.106Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;1;1;3
41;2021-07-05T17:56:03.207Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;1;1;3
41;2021-07-05T17:56:03.307Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;1;1;3
41;2021-07-05T17:56:03.507Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;1;1;3
41;2021-07-05T17:56:03.807Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;1;1;3
41;2021-07-05T17:56:05.106Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;1;1;3
41;2021-07-05T17:56:05.156Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;1;1;3
41;2021-07-05T17:56:08.457Z;Calendar;Calendar Circle Click Add;Selected a circle on the Calendar view;1;1;3
41;2021-07-05T17:56:09.008Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;1;1;3
41;2021-07-05T17:56:09.011Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;1;1;3
41;2021-07-05T17:56:09.157Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;1;1;3
41;2021-07-05T17:56:09.907Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;1;1;3
41;2021-07-05T17:56:13.157Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;1;1;3
41;2021-07-05T17:56:13.159Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;1;1;3
41;2021-07-05T17:56:15.957Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;1;1;3
