Identifier;Time Stamp;Idiom;Type of Interaction;Description;Condition;Task 1;Task 2
17;2021-06-16T13:14:15.437Z;Visualization;Visualization Start First Task;The user started the first task;2;2;4
17;2021-06-16T13:14:18.504Z;Map;Map Enter View;Entered the Map view;2;2;4
17;2021-06-16T13:14:25.858Z;Calendar;Calendar Enter View;Entered the Calendar view;2;2;4
17;2021-06-16T13:14:26.243Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
17;2021-06-16T13:14:26.416Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
17;2021-06-16T13:14:26.419Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
17;2021-06-16T13:14:32.207Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
17;2021-06-16T13:14:32.464Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
17;2021-06-16T13:14:33.307Z;Calendar;Calendar Circle Click Add;Selected a circle on the Calendar view;2;2;4
17;2021-06-16T13:14:35.059Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
17;2021-06-16T13:14:35.157Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
17;2021-06-16T13:14:35.515Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
17;2021-06-16T13:14:35.562Z;Map;Map Enter View;Entered the Map view;2;2;4
17;2021-06-16T13:14:35.662Z;Overview;Overview Enter View;Entered the Overview tab;2;2;4
17;2021-06-16T13:14:39.409Z;Overview;Overview Remove Button Click;Click the Overview Remove Button;2;2;4
17;2021-06-16T13:14:39.705Z;Map;Map Enter View;Entered the Map view;2;2;4
17;2021-06-16T13:14:39.854Z;Calendar;Calendar Enter View;Entered the Calendar view;2;2;4
17;2021-06-16T13:14:40.456Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
17;2021-06-16T13:14:44.356Z;Calendar;Calendar Circle Click Add;Selected a circle on the Calendar view;2;2;4
17;2021-06-16T13:14:45.056Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;2;2;4
17;2021-06-16T13:14:45.206Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;2;2;4
