Identifier;Time Stamp;Idiom;Type of Interaction;Description;Condition;Task 1;Task 2
28;2021-06-21T14:20:55.664Z;Visualization;Visualization Start First Task;The user started the first task;1;1;3
28;2021-06-21T14:20:56.079Z;Map;Map Enter View;Entered the Map view;1;1;3
28;2021-06-21T14:20:58.680Z;Calendar;Calendar Enter View;Entered the Calendar view;1;1;3
28;2021-06-21T14:21:00.580Z;Map;Map Enter View;Entered the Map view;1;1;3
28;2021-06-21T14:21:00.845Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
28;2021-06-21T14:21:00.899Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
28;2021-06-21T14:21:04.287Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
28;2021-06-21T14:21:04.998Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
28;2021-06-21T14:21:13.133Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
28;2021-06-21T14:21:13.181Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
28;2021-06-21T14:21:23.086Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
28;2021-06-21T14:21:23.131Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
28;2021-06-21T14:21:23.985Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
28;2021-06-21T14:21:25.735Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
28;2021-06-21T14:21:27.384Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
28;2021-06-21T14:21:27.748Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
28;2021-06-21T14:21:30.085Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
28;2021-06-21T14:21:34.037Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
28;2021-06-21T14:21:34.398Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
28;2021-06-21T14:21:35.810Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
28;2021-06-21T14:21:38.381Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
28;2021-06-21T14:21:40.167Z;Map;Map Circle Click Add;Selected a circle on the Map view;1;1;3
28;2021-06-21T14:21:41.434Z;Map;Map Circle Click Remove;Unselected a circle on the Map view;1;1;3
28;2021-06-21T14:21:42.434Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
28;2021-06-21T14:21:42.645Z;Overview;Overview Enter View;Entered the Overview tab;1;1;3
28;2021-06-21T14:21:43.232Z;Map;Map Enter View;Entered the Map view;1;1;3
28;2021-06-21T14:21:44.132Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
28;2021-06-21T14:21:45.837Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
28;2021-06-21T14:21:47.033Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
28;2021-06-21T14:21:48.080Z;Map;Map Circle Click Add;Selected a circle on the Map view;1;1;3
28;2021-06-21T14:21:48.634Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
28;2021-06-21T14:21:49.581Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
28;2021-06-21T14:21:52.867Z;Map;Map Circle Click Add;Selected a circle on the Map view;1;1;3
28;2021-06-21T14:21:53.285Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
28;2021-06-21T14:21:53.396Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
28;2021-06-21T14:21:54.482Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
28;2021-06-21T14:21:56.282Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
28;2021-06-21T14:21:57.846Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
28;2021-06-21T14:21:57.946Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
28;2021-06-21T14:22:02.184Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
28;2021-06-21T14:22:04.533Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
28;2021-06-21T14:22:06.533Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
28;2021-06-21T14:22:06.630Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
28;2021-06-21T14:22:06.984Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
28;2021-06-21T14:22:09.133Z;Map;Map Circle Click Add;Selected a circle on the Map view;1;1;3
28;2021-06-21T14:22:10.233Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
28;2021-06-21T14:22:11.684Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
28;2021-06-21T14:22:14.032Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
