Identifier;Time Stamp;Idiom;Type of Interaction;Description;Condition;Task 1;Task 2
70;2021-07-31T14:10:56.344Z;Visualization;Visualization Start First Task;The user started the first task;3;1;4
70;2021-07-31T14:10:57.166Z;Map;Map Enter View;Entered the Map view;3;1;4
70;2021-07-31T14:11:02.571Z;Calendar;Calendar Enter View;Entered the Calendar view;3;1;4
70;2021-07-31T14:11:02.667Z;Calendar;Calendar Enter View;Entered the Calendar view;3;1;4
70;2021-07-31T14:11:02.950Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;1;4
70;2021-07-31T14:11:02.916Z;Calendar;Calendar Enter View;Entered the Calendar view;3;1;4
70;2021-07-31T14:11:03.023Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;3;1;4
70;2021-07-31T14:11:03.024Z;Map;Map Enter View;Entered the Map view;3;1;4
70;2021-07-31T14:11:03.073Z;Calendar;Calendar Enter View;Entered the Calendar view;3;1;4
70;2021-07-31T14:11:03.272Z;Map;Map Enter View;Entered the Map view;3;1;4
70;2021-07-31T14:11:03.415Z;Calendar;Calendar Enter View;Entered the Calendar view;3;1;4
70;2021-07-31T14:11:03.418Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;1;4
70;2021-07-31T14:11:03.525Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;3;1;4
70;2021-07-31T14:11:03.673Z;Map;Map Enter View;Entered the Map view;3;1;4
70;2021-07-31T14:11:08.875Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
70;2021-07-31T14:11:08.924Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
70;2021-07-31T14:11:09.026Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
70;2021-07-31T14:11:12.270Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
70;2021-07-31T14:11:12.373Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
70;2021-07-31T14:11:12.475Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
70;2021-07-31T14:11:14.719Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
70;2021-07-31T14:11:17.468Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
70;2021-07-31T14:11:17.668Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
70;2021-07-31T14:11:17.870Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
70;2021-07-31T14:11:19.018Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
70;2021-07-31T14:11:20.026Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
70;2021-07-31T14:11:21.470Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
70;2021-07-31T14:11:22.120Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
70;2021-07-31T14:11:22.452Z;Map;Map Circle Click Add;Selected a circle on the Map view;3;1;4
70;2021-07-31T14:11:23.218Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
70;2021-07-31T14:11:24.219Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
70;2021-07-31T14:11:24.519Z;Map;Map Circle Click Add;Selected a circle on the Map view;3;1;4
70;2021-07-31T14:11:24.969Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
70;2021-07-31T14:11:25.868Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
70;2021-07-31T14:11:26.119Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
70;2021-07-31T14:11:26.369Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
70;2021-07-31T14:11:26.569Z;Map;Map Circle Click Add;Selected a circle on the Map view;3;1;4
70;2021-07-31T14:11:27.024Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
70;2021-07-31T14:11:27.167Z;Overview;Overview Enter View;Entered the Overview tab;3;1;4
70;2021-07-31T14:11:27.273Z;Map;Map Enter View;Entered the Map view;3;1;4
