Identifier;Time Stamp;Idiom;Type of Interaction;Description;Condition;Task 1;Task 2
43;2021-07-05T19:09:33.683Z;Visualization;Visualization Start First Task;The user started the first task;1;1;3
43;2021-07-05T19:09:33.900Z;Map;Map Enter View;Entered the Map view;1;1;3
43;2021-07-05T19:09:43.062Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
43;2021-07-05T19:09:45.156Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
43;2021-07-05T19:09:46.551Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
43;2021-07-05T19:09:49.730Z;Map;Map Circle Click Add;Selected a circle on the Map view;1;1;3
43;2021-07-05T19:09:50.749Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
43;2021-07-05T19:09:52.698Z;Overview;Overview Enter View;Entered the Overview tab;1;1;3
43;2021-07-05T19:10:18.099Z;Overview;Overview Enter View;Entered the Overview tab;1;1;3
43;2021-07-05T19:10:18.204Z;Overview;Overview Remove Button Click;Click the Overview Remove Button;1;1;3
43;2021-07-05T19:10:19.849Z;Map;Map Enter View;Entered the Map view;1;1;3
43;2021-07-05T19:10:20.051Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
43;2021-07-05T19:10:21.101Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
43;2021-07-05T19:10:22.500Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
43;2021-07-05T19:10:25.351Z;Map;Map Circle Click Add;Selected a circle on the Map view;1;1;3
43;2021-07-05T19:10:26.300Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
43;2021-07-05T19:10:26.397Z;Overview;Overview Enter View;Entered the Overview tab;1;1;3
43;2021-07-05T19:10:28.448Z;Map;Map Enter View;Entered the Map view;1;1;3
43;2021-07-05T19:10:28.852Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
43;2021-07-05T19:10:30.852Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
43;2021-07-05T19:10:30.907Z;Overview;Overview Enter View;Entered the Overview tab;1;1;3
43;2021-07-05T19:10:33.398Z;Map;Map Enter View;Entered the Map view;1;1;3
43;2021-07-05T19:10:34.252Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
43;2021-07-05T19:10:36.554Z;Map;Map Circle Click Add;Selected a circle on the Map view;1;1;3
43;2021-07-05T19:10:37.398Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
43;2021-07-05T19:10:38.349Z;Overview;Overview Enter View;Entered the Overview tab;1;1;3
43;2021-07-05T19:10:39.199Z;Map;Map Enter View;Entered the Map view;1;1;3
43;2021-07-05T19:10:39.601Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
43;2021-07-05T19:10:40.100Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
43;2021-07-05T19:10:41.600Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
43;2021-07-05T19:10:44.100Z;Map;Map Circle Click Remove;Unselected a circle on the Map view;1;1;3
43;2021-07-05T19:10:45.400Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
43;2021-07-05T19:10:45.900Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
43;2021-07-05T19:10:47.050Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;1;1;3
43;2021-07-05T19:10:47.407Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;1;1;3
