Identifier;Time Stamp;Idiom;Type of Interaction;Description;Condition;Task 1;Task 2
56;2021-07-20T18:21:19.596Z;Visualization;Visualization Start First Task;The user started the first task;3;1;4
56;2021-07-20T18:21:20.851Z;Map;Map Enter View;Entered the Map view;3;1;4
56;2021-07-20T18:21:22.116Z;Calendar;Calendar Enter View;Entered the Calendar view;3;1;4
56;2021-07-20T18:21:23.366Z;Map;Map Enter View;Entered the Map view;3;1;4
56;2021-07-20T18:21:25.215Z;Overview;Overview Enter View;Entered the Overview tab;3;1;4
56;2021-07-20T18:21:25.867Z;Map;Map Enter View;Entered the Map view;3;1;4
56;2021-07-20T18:21:26.000Z;Overview;Overview Enter View;Entered the Overview tab;3;1;4
56;2021-07-20T18:21:26.450Z;Map;Map Enter View;Entered the Map view;3;1;4
56;2021-07-20T18:21:26.581Z;Overview;Overview Enter View;Entered the Overview tab;3;1;4
56;2021-07-20T18:21:29.850Z;Map;Map Enter View;Entered the Map view;3;1;4
56;2021-07-20T18:21:32.407Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:21:32.420Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:21:32.452Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:21:32.768Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:21:39.270Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:21:39.299Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:21:39.433Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:21:41.300Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:21:42.041Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:21:42.134Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:21:43.736Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:21:43.750Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:21:43.800Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:21:43.821Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:21:44.952Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:21:45.066Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:21:45.216Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:21:48.919Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:21:48.934Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:21:49.218Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:21:49.232Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:21:56.203Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:21:56.216Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:21:56.568Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:21:56.600Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:22:00.820Z;Map;Map Enter View;Entered the Map view;3;1;4
56;2021-07-20T18:22:04.550Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:06.951Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:22:07.485Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:07.634Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:09.001Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:09.017Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:22:21.251Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:21.266Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:22:21.385Z;Calendar;Calendar Enter View;Entered the Calendar view;3;1;4
56;2021-07-20T18:22:22.284Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;1;4
56;2021-07-20T18:22:22.317Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;3;1;4
56;2021-07-20T18:22:22.350Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;1;4
56;2021-07-20T18:22:22.400Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;3;1;4
56;2021-07-20T18:22:22.416Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;1;4
56;2021-07-20T18:22:22.667Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;3;1;4
56;2021-07-20T18:22:22.718Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;1;4
56;2021-07-20T18:22:23.669Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;3;1;4
56;2021-07-20T18:22:23.683Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;1;4
56;2021-07-20T18:22:23.699Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;3;1;4
56;2021-07-20T18:22:23.717Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;1;4
56;2021-07-20T18:22:23.733Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;3;1;4
56;2021-07-20T18:22:24.435Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;1;4
56;2021-07-20T18:22:24.817Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;3;1;4
56;2021-07-20T18:22:24.832Z;Calendar;Calendar Circle Enter;Hovered the cursor into a circle on the Calendar view;3;1;4
56;2021-07-20T18:22:24.850Z;Calendar;Calendar Circle Leave;Hovered the cursor out of a circle on the Calendar view;3;1;4
56;2021-07-20T18:22:24.949Z;Map;Map Enter View;Entered the Map view;3;1;4
56;2021-07-20T18:22:26.384Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:28.968Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:29.024Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:22:29.717Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:29.784Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:35.383Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:22:36.301Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:37.417Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:37.500Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:22:37.985Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:38.952Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:22:39.336Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:40.704Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:22:41.436Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:41.628Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:45.067Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:22:45.417Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:45.433Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:22:45.452Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:45.467Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:22:48.485Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:48.517Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:22:48.969Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:48.984Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:52.415Z;Map;Map Circle Click Add;Selected a circle on the Map view;3;1;4
56;2021-07-20T18:22:53.250Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:53.267Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:22:53.400Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:53.967Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:22:55.368Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:57.318Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:22:57.955Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:22:59.451Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:23:00.285Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
56;2021-07-20T18:23:01.486Z;Map;Map Circle Leave;Hovered the cursor out of a circle on the Map view;3;1;4
56;2021-07-20T18:23:01.952Z;Map;Map Circle Enter;Hovered the cursor into a circle on the Map view;3;1;4
