identifier,condition,task_1,task_2,total_time,total_time_map,total_time_calendar,total_time_overview,total_interactions,total_circle_clicks,total_circle_clicks_add,total_circle_clicks_remove,total_circle_clicks_map,total_circle_clicks_map_add,total_circle_clicks_map_remove,total_circle_clicks_calendar,total_circle_clicks_calendar_add,total_circle_clicks_calendar_remove,total_remove_single_clicks,total_remove_all_clicks,total_sort_open_clicks,total_sort_option_clicks,total_circle_hovers,total_circle_hovers_map,total_circle_hovers_calendar,map_circle_hover,map_circle_click_add,map_circle_click_remove,calendar_circle_hover,calendar_circle_click_add,calendar_circle_click_remove,overview_remove_single,overview_remove_all,overview_sort_open,overview_sort_option
36,2,2,4,175.03,72.42,40.36,62.26,53,9,9,5,4,4,0,5,5,0,4,1,0,0,39,18,21,0-4-0-0-0-0-0-0-0-0,3-0-0-0-0-0-1-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-5-0-0-0-0-0,0-0-0-4-0-0-1-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
37,2,2,4,136.7,13.34,103.34,20.02,53,6,6,3,0,0,0,6,6,0,2,1,0,0,43,0,43,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-6-0-0-0-0-0,0-0-0-4-0-0-2-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-2-0-0-0-0-0-0,0-0-0-1-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
37,2,2,4,222.42,44.51,97.71,80.2,107,9,9,5,0,0,0,9,9,0,4,1,0,0,93,18,75,0-0-0-0-0-0-1-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-9-0-0-0-0-0,0-0-0-8-0-0-1-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-1-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
39,1,1,3,208.72,130.64,7.01,71.07,44,10,9,5,10,9,1,0,0,0,3,1,0,0,30,30,0,0-8-1-0-0-0-1-0-0-0,8-0-0-0-0-0-1-0-0-0,0-1-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
40,2,2,4,158.72,8.34,81.74,68.64,60,8,8,4,0,0,0,8,8,0,3,1,0,0,48,0,48,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-8-0-1-0-0-0,0-0-0-7-0-0-1-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-1-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
41,1,1,3,217.68,51.04,158.43,8.21,83,6,6,2,0,0,0,6,6,0,1,1,0,0,75,2,73,0-0-0-1-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-6-0-0-0-0-0,0-0-0-5-0-0-1-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
42,2,2,4,213.78,47.03,132.61,34.14,62,8,8,5,0,0,0,8,8,0,4,1,1,0,48,0,48,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-8-0-1-0-0-0,0-0-0-5-0-0-2-0-1-0,0-0-0-0-0-0-0-0-0-0,0-0-0-2-0-0-0-0-0-0,0-0-0-1-0-0-0-0-0-0,0-0-0-1-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
43,1,1,3,232.36,180.02,5.01,47.34,74,11,8,4,11,8,3,0,0,0,1,0,0,0,62,62,0,0-8-3-0-0-0-0-0-0-0,7-0-0-0-0-0-1-0-0-0,3-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
44,2,2,4,176.57,42.84,84.27,49.46,68,9,9,7,0,0,0,9,9,0,6,1,0,0,52,0,52,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-9-0-0-0-0-0,0-0-0-5-0-0-4-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-3-0-0-0-1-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
45,2,2,4,184.02,17.81,75.31,90.9,59,10,10,6,0,0,0,10,10,0,5,1,0,0,43,0,43,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-10-0-1-0-0-0,0-0-0-8-0-0-2-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-1-0-0-0-0-0-0,0-0-0-1-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
46,1,1,3,190.71,125.27,2.15,63.28,47,9,9,5,9,9,0,0,0,0,4,1,0,0,33,33,0,0-9-0-0-0-0-2-0-0-0,9-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-1-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
47,2,2,4,247.83,56.97,168.8,22.06,91,13,11,6,0,0,0,13,11,2,3,1,0,0,74,0,74,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-11-1-0-1-0-0,0-0-0-7-0-1-3-0-0-0,0-0-0-2-0-0-0-0-0-0,0-0-0-3-0-0-0-0-0-0,0-0-0-1-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
