total_time_map
8.34
97.9
103.1
125.16
159.77
68.2
47.03
154.41
189.66
98.59
42.84
226.06
170.47
70.22
54.6
152.25
75.42
5.27
113.05
22.26
167.85
15.89
7.0
51.04
125.27
124.47
130.36
178.06
140.55
190.45
81.3
7.31
80.55
20.43
33.22
97.22
86.98
130.64
121.83
131.68
122.22
6.0
75.22
56.97
180.02
5.56
189.42
70.75
32.94
47.62
127.26
131.65
202.52
21.94
106.23
98.59
67.52
44.51
77.01
123.34
