total_time_calendar
81.74
0.8
47.9
77.86
34.45
40.82
132.61
58.26
8.0
0.0
84.27
72.33
19.1
65.82
0.0
2.6
77.24
88.71
22.36
138.22
67.22
92.4
70.12
158.43
2.15
0.0
46.74
0.0
72.52
149.98
11.4
89.37
85.15
116.26
40.8
16.56
95.8
7.01
12.8
31.0
18.29
87.69
119.4
168.8
5.01
78.71
104.82
42.97
180.78
44.79
112.87
0.24
125.04
85.93
151.33
69.97
26.45
97.71
25.19
65.36
